"X","content","headline","section_name","type_of_material"
111,"













Tropical Storm Ingrid and the remnants of Tropical Storm Manuel drenched Mexicos Gulf and Pacific coasts with more torrential rains Monday, flooding towns and cities, cutting off highways and setting off deadly landslides in a national emergency that federal authorities said had caused at least 34 deaths. Some of the heaviest damage was in the southern coastal state of Guerrero, where Mexicos government reported 15 confirmed deaths from Manuel. State officials said people had been killed in landslides, drownings in a swollen river and a truck crash on a rain-slickened mountain highway. Flooding closed the main highway from Mexico City to Acapulco, and power cuts shut the resort citys main airport.        



 



","Mexico: Deadly Storms on Both Coasts","World","Brief"
115,"













A British company cannot sell merchandise under the name Knut  Der Eisbr (German for Knut  the polar bear), a European court ruled Monday, closing yet another chapter in the unusual saga of the Berlin Zoos late animal celebrity, who enjoyed a cult-like following around the world until his death last year. The General Court of the European Union in Luxembourg upheld an earlier claim by the zoo that the proposed brand was too similar to the registered trademark Knud, which the zoo already holds. Marketing the bear has proved especially lucrative for the zoo, which has raked in millions of euros with its Knut-themed trinkets and souvenirs.        



 



","Germany: Knuts Trademark Is Upheld","World","Brief"
116,"













Suspected militants set off a roadside bomb in the northern part of the Sinai Peninsula on Monday as a bus full of police conscripts drove by, wounding nine of them, security officials said. The blast on the outskirts of El Arish, northern Sinais provincial capital, came amid a counterinsurgency operation by Egypts military and the police in the volatile desert region. The bus that was bombed Monday was traveling from the border town of Rafah, near the Palestinian Gaza Strip, to El Arish and was escorted by an armored police car. The bomb was set off by remote control, said officials who spoke on condition of anonymity because they were not authorized to speak to the media.        



 



","Egypt: Roadside Bomb Hits Police Bus","World","Brief"
118,"










WASHINGTON  First came the supercommittee, tasked in 2011 with finding a bipartisan deficit reduction plan but doomed to fail. Then came the McConnell plan, a way for Congress to raise the governments debt limit without actually voting to do so. And in January there was no budget, no pay, a measure coupled with the last debt ceiling increase to deny paychecks to lawmakers if they did not pass a budget.        



For three years, Congressional leaders have relied on tactical maneuvers, sleights of hand and sheer gimmickry to move the nation from one fiscal crisis to the next  with little strategy to deal with the actual problems at hand. Medicare and Social Security continue to swell with an aging population. Health care costs grow. A burdensome tax code remains unchanged, and economic revival is shadowed by the specter of Washingtons crisis-driven mismanagement.        
Now, with a government shutdown looming at months end and a crippling default on the nations debt possible by mid-October, Congressional leaders may have run out the string on legislative trickery. Conservative Republicans in the House have declared they will not go along with any more gimmickry from their leadership. Democrats have vowed they will not help Republican leaders out of their jam without some easing of spending cuts. And a way forward  to keep the government operating and solvent, and to protect the international economy from a default-driven shock wave  is nowhere to be found as the House is set to vote this week on a stopgap spending plan.        
What is causing this is the inability, at least to this date, of our nations leaders  in the House and White House  to make good decisions, timely decisions, that put our country first, said Representative Scott Rigell, Republican of Virginia. Its really no surprise that were in this bind.        
President Obama joined the fray Monday, castigating Republicans for the latest budget crisis but hoping that a light bulb goes off.        
What happens here in Washington makes a difference, he said at a White House event commemorating the fifth anniversary of the financial crisis that helped propel him to the presidency. What happens up on Capitol Hill is going to help determine not only the pace of our growth but also the quality of jobs, the quality of opportunity for this generation and future generations.        
Last week, with the body politic focused on Syria, Representative Eric Cantor of Virginia, the No. 2 House Republican, trotted out his answer to the latest fiscal morass. First, the House would pass stopgap funding legislation to keep the government open until mid-December  with a companion clause that would strip all funding to implement President Obamas health care law. Sure, the Senate could simply ignore the health care provision, but Mr. Cantor assured House conservatives he would come back with an increase in the governments borrowing limit that would delay the health care law for one year.        
The conservatives answer? A boisterous and resounding no.        
Certainly weve often used insider Washington rules and tools  some would call them gimmicks  to protect people from hard votes, said Representative Mick Mulvaney, Republican of South Carolina. Thats been part of Washington a long time. But what were seeing here is an unwillingness to accept this as a first step. You cant start with a complete surrender.        
Just five scheduled legislative days stand between the House and a government shutdown. House Republican leaders and their allies say there is still time to persuade their recalcitrant backbenchers to go along with the Cantor plan, or some variant of it. House Republicans will meet Wednesday to hash over their options. But the divisions that have bedeviled Speaker John A. Boehner since he took the gavel in 2011 are back in force.        
Its fair to say it looks a little gimmicky, but at least it would prevent a government shutdown, said Representative Charlie Dent, a moderate Republican from Pennsylvania who backs the plan. Its important that Republicans stop pretending that Mitch McConnell is the Senate majority leader and Mitt Romney is the president, he said, referring to Mr. McConnell of Kentucky, who as leader of Senate Republicans heads the minority party. Conservatives say they are tired of losing, and they are being egged on by activist organizations that are demanding a hard line. From his new perch heading the right-leaning Heritage Foundation, former Senator Jim DeMint has demanded an end to pretend votes and gimmicks. The conservative activist L. Brent Bozell III is rallying supporters around legislation that would strip all funds from the Affordable Care Act immediately, saying hell accept no less.        
The Club for Growth, a political action committee not bashful about mounting primary challenges to Republican lawmakers from the right, says it will put a black mark on the record of any lawmaker who votes even to bring the Cantor plan to the House floor. And an expanding base of Internet-wired Tea Party ground troops is keeping the pressure on.        
Were pushing back on these gimmicks that used to be the coin of the trade in Washington, said Michael A. Needham, chief executive of Heritage Action, the Heritage Foundations political arm. I think its exciting.        
Republican leaders can be forgiven for their shell shock. For three years such activists have generally looked the other way as Republicans finessed a path from crisis to crisis. In 2011, the House took the nation to the brink of its first-ever debt default, despite warnings from economists that such a move could plunge the global economy into recession.        
The way out, in part, was a special select committee tasked with producing a bipartisan plan to reduce the deficit by around $4 trillion over 10 years. The supercommittee failed, but the legislation that produced it did lift the debt ceiling.        
To do it, however, Mr. McConnell had to dream up another sleight of hand, a two-step process that allowed President Obama to raise the debt ceiling himself, then gave Congress a vote to voice its disapproval. Even if that disapproval could pass Congress, it could be vetoed by the president. Thus the governments borrowing limit would rise without any lawmaker having to vote explicitly to do it.        
Earlier this year, House Republicans devised another plan to raise the debt ceiling while extracting only a token concession. That concession was the No Budget, No Pay Act, which would have impounded the pay of members of Congress if they failed to pass a budget. Senate Democrats complied, passed a budget, and have berated the House for the past five months for refusing to even try to resolve the vast differences between the Houses spending and tax plan and the Senates.        
The House has also all but given up on passing detailed spending bills to comply with its budget.        
If this is our approach to governance, we are in deep trouble, Mr. Rigell fumed.        
With the clock ticking, frustration with what Representative Reid Ribble, Republican of Wisconsin, called all these fiscal cliffs and this dance we go into all the time may be reaching a crescendo.        
We just need to find a path forward, and we have to get off these conversations about this small stuff, Mr. Ribble said. Its time we start to deal with the real issues.        



 



","Amid Revolt Over Fiscal Gimmicks, Options Dwindle for G.O.P.","U.S.","News"
119,"













An argument over the teachings of the philosopher Immanuel Kant between two men standing in line for beer at an outdoor festival in southern Russia ended when one man shot the other in the head with gun loaded with rubber bullets, the state RIA news agency reported on Monday, citing the police. Though the wound was not critical, the attacker faces up to a decade in prison if convicted on assault charges. Among educated Russians, including those who drink, classical literature and philosophy are sometimes debated in casual social settings, the way sports often are in Western countries.        



 



","Russia: Shooting in Philosophical Clash","World","Brief"
124,"










HOUSTON  Aaron Alexis, 34, the man killed by police officers and identified as the gunman in the deadly rampage at the Washington Navy Yard on Monday, served his country as a Navy reservist, had an abiding interest in Buddhism and Thai culture, and had problems with the law, records and interviews show.        



In 2004, according to a Seattle police report, Mr. Alexis walked out of his grandmothers home one morning, pulled a .45-caliber pistol from his waistband and fired three rounds at a construction workers car, two at the rear tires and one into the air.        
A construction manager told the police he thought Mr. Alexis was frustrated with the parking situation outside the work site. But Mr. Alexis told the police that he had had an anger-fueled blackout and could not remember firing the weapon until about an hour after the episode. He said he was in New York during the Sept. 11 attacks, and described to a detective how those events had disturbed him, according to the detectives report. His father told investigators that Mr. Alexis had problems associated with post-traumatic stress disorder, and had been an active participant in rescue attempts on Sept. 11. Mr. Alexiss father could not be reached for comment Monday.        
Anthony Little, Mr. Alexiss brother-in-law, told reporters Monday in Brooklyn that it had been five years since his wife, Naomi Alexis, had spoken to her brother. No one saw it coming, no one knew anything, so all of this is just shocking, he said.        
Law enforcement officials said the motive behind the navy yard shooting remained unclear.        
Mr. Alexis was born in Queens in 1979 and was representative of the boroughs diversity. He was African-American, grew up in a part of Queens that was home to South Asians, Hispanics and Orthodox Jews, and embraced all things Thai while living in Fort Worth. He worked as a waiter at a Thai restaurant, studied the language and regularly chanted and meditated at Buddhist temples.        
From 2007 to 2011, Mr. Alexis was a full-time reservist in the Navy, serving as an aviation electricians mate and achieving the rank of petty officer third class. For much of that time, from February 2008 to January 2011, when he left the service, he was assigned to the Fleet Logistics Support Squadron 46, in Fort Worth, Navy officials said. His specialty was fixing electrical systems on airplanes.        
Navy Secretary Ray Mabus said on CNN that Mr. Alexis was in the ready reserve, meaning he did not have day-to-day contact with the Navy, but, if called upon, he would be one of the ones mobilized. Mr. Alexis was awarded the National Defense Service Medal and the Global War on Terrorism Service Medal, two standard military honors, but there were indications that he struggled in the Navy.        
During his time in the service, he exhibited a pattern of misbehavior, Navy officials said, though they declined to elaborate. Upon leaving, he became a Navy contractor. At the time of the shooting, Mr. Alexis worked for a company affiliated with Hewlett-Packard that serviced the Navys Internet system, Hewlett-Packard said in a statement. He had been living for weeks in a long-term-stay hotel with colleagues to work on the Navy Yard project, according to a government official.        
In 2010, Mr. Alexis was arrested in Fort Worth for discharging a firearm. At the time, Mr. Alexis had been living in an apartment complex called Orion at Oak Hill. His upstairs neighbor called the police after she heard a pop, saw dust fly and noticed holes in her floor and ceiling. She told the police that Mr. Alexis had confronted her in the parking lot about making too much noise, and she felt threatened by him, according to the Fort Worth police report.        
Mr. Alexis later told an officer that he had been cleaning his gun while cooking, and that the gun had accidentally discharged. The officer asked him why he did not call the police or check on the resident above him, and he replied that he did not think the bullet went through because he could not see any light through the hole, according to the report. The officer noted that the gun was taken apart and covered in oil.        
James Rotter, the father of the woman in the apartment, said the shot came through close to where his daughter had been sitting. She moved out after the episode, and a lawyer advised the family not to press charges.        
How could you prove he did it on purpose when he claimed he was cleaning his gun? Mr. Rotter said.        
In recent years, Mr. Alexis dated a Thai woman and began showing up regularly at Wat Busayadhammavanara, a Buddhist Temple in White Settlement, Tex., a Fort Worth suburb. He had Thai friends, adored Thai food and said he always felt drawn to the culture, said Pat Pundisto, a member of the temple answering the phone there on Monday. He was a regular at Sunday services, intoning Buddhist chants and staying to meditate afterward. On celebrations like the Thai New Year in April, he helped out, serving guests dressed in ceremonial Thai garb the temple provided.        
At the temple, he met Nutpisit Suthamtewakul, who went on to open the Happy Bowl Thai restaurant in White Settlement in 2011, said the restaurant owners cousin, Naree Wilton, 51, in a phone interview. Mr. Alexis helped out at the restaurant in exchange for food and a room in Mr. Suthamtewakuls house.        
There, he played computer games at the nighttime and all day, Ms. Wilton said, on one of three computers he kept in his room, driving up the houses electricity bills. After he got a job fixing computers, the family asked him to help out with utility bills. He rarely paid and borrowed money often, Ms. Wilton said, complaining that his computer company was withholding pay.        



 
Reporting was contributed by Joseph Goldstein, Erica Goode, Nate Schweber and Vivian Yee from New York; Sarah Maslin Nir from Washington; and Lauren DAvolio from Fort Worth. 
 



","Suspect in Shooting Had Problems With the Law","U.S.","News"
130,"










STATE COLLEGE, Pa.  During the first week of classes at Penn State last month, John Nichols sat in his office in the old wing of the Willard Building, across the lawn from Old Main, fuming about what people have been saying, for two years now, about the university he loves.        



The campus was bustling. The students had returned. This bucolic towns main drag, College Avenue, had come alive. Stores sold shirts that read, Billieve and OBriens Lions. Football season was close, and almost everyone seemed excited for Coach Bill OBriens second year.        
Nichols sat behind his large wooden desk, surrounded by four full bookshelves. He has spent 36 years at Penn State. He raised his children here. He is a professor emeritus and a former chairman of the faculty senate. Now he was talking about Jerry Sandusky and Joe Paterno and he was getting angry. He sat up straighter. His eyes bulged. He threw his hands up.        
Just this last weekend, I was with some of my closest friends in another state, he said. Of course the subject always comes up  always comes up. Its like a scarlet letter. And when I say that most of what youve read is not true, they look at you like  even close friends  they look at you like: Are you a Holocaust denier? Youve drunk the Penn State Kool-Aid. What other conspiracy theory do you have?        
Can you imagine the frustration when you know that theres been a gross mischaracterization of what has happened at Penn State? And that I and my kids who graduated from Penn State, my friends and colleagues here, are going to have to live with being guilty for crimes we did not commit?        
Nichols is among those in the larger Penn State community  including current and former faculty, alumni and fans  still upset at how the child sexual abuse scandal involving Sandusky, Paternos longtime top assistant, was handled by the institutions leadership. Still upset about the report put forth by the former F.B.I. director Louis J. Freeh that said Paterno and others covered up Sanduskys crimes. Still upset about the N.C.A.A. sanctions based on the report, and what they say was the false narrative perpetuated by the news media. Still upset about how they thought the scandal came to define Penn State unfairly.        
Terry Engelder, a professor of geosciences in his 28th year at Penn State, said in an e-mail that some faculty members were still agitated because the rush to unfair judgment has done unspeakable damage to the universitys reputation worldwide.        
The scandal continues to have ripple effects. The universitys board of trustees has authorized Penn State to spend about $60 million to settle about 30 outstanding claims with Sanduskys victims. The former university president Graham B. Spanier, the former athletic director Tim Curley and the former university vice president Gary Schultz are set to stand trial for their suspected roles in a cover-up of Sanduskys actions. Sandusky was convicted last year of 45 counts of child sexual abuse and sentenced to 30 to 60 years in prison. The football team is prohibited from playing in a bowl game for three more seasons, and it has scholarship restrictions that run through the 2017 season.        
Nichols does not want to forget the scandal just yet. He said that the entire university had been implicated in the publics mind, that it has been accepted as fact that there was a cover-up, he says, without due process.        
Of the five men who are most connected to the scandal, Nichols pointed out, only Sandusky has been convicted. Paterno died last year, and Spanier, Curley and Schultz have yet to stand trial. If they are found not guilty of the charges against them  including perjury, conspiracy and endangering the welfare of children  Nichols said it would cast doubt on the legitimacy of the Freeh report, and the N.C.A.A. penalties would have no basis.        
I think a lot of people  this includes me  are really rooting that they be found not guilty, he said, because that would start rolling back the narrative.        
He sighed. We would like to think itd be Duke 2, the Duke lacrosse case, where the truth would finally emerge, he said. But I think theres a growing sense that thats probably not going to happen.        
Last year, the faculty senate appointed Nichols to lead a study meant to complement the Freeh report. The study examined the current state of the university and ways to move forward. His report was released in March 2013 to little fanfare. It concluded, in part, that more collaboration and better communication was needed between the board of trustees and the rest of the university.        



 1  2 Next Page  



","Groups Want Bad Image of Penn State to Go Away","Sports","News"
133,"










Drilling for shale gas through hydraulic fracturing, or fracking, appears to cause smaller leaks of the greenhouse gas methane than the federal government had estimated, and considerably smaller than some critics of shale gas had feared, according to a peer-reviewed study released on Monday.        



The study, conducted by the University of Texas and sponsored by the Environmental Defense Fund and nine petroleum companies, bolsters the contention by advocates of fracking  and some environmental groups as well  that shale gas is cleaner and better than coal, at least until more renewable-energy sources are developed. More than 500 wells were analyzed.        
The Texas study concluded that while the total amount of escaped methane from shale-gas operations was substantial  more than one million tons annually  it was probably less than the Environmental Protection Agency estimated in 2011.        
In particular, it indicated that containment measures captured 99 percent of methane that escaped from new wells being prepared for production, a process known as completion.        
The Environmental Protection Agency has begun to require drillers to control leaks during completions, which are believed to be one of the major sources of methane losses at fracking wells. Although controls will not be required until January 2015, a number of companies already capture escaped gases at wells being prepared for production.        
Can we control it? Thanks to new E.P.A. regulations coming online, the answer to that is good news, Eric Pooley, a senior vice president at the Environmental Defense Fund, said in an interview.        
The report was published Monday in The Proceedings of the National Academy of Sciences. With the study, which ran from May through December of last year, the university was the first to conduct detailed examinations of individual drilling sites. It did so with the consent of petroleum companies, which provided about 90 percent of the financing for the study. Previous E.P.A. estimates relied on engineering calculations, and other studies gathered data via aircraft flights over drilling sites.        
The studys connection to the petroleum industry  among its sponsors and financiers are Shell, Anadarko Petroleum Corporation, Exxon Mobil and Chevron  may lead some to question its objectivity, some outside experts said. But most said the research and the reputations of the researchers appear solid.        
Previous studies that have gotten a lot of attention have had red flags jumping out all over them. This one didnt, said Michael A. Levi, the director of the program on energy security and climate change at the Council on Foreign Relations. In an e-mailed statement, Shells president, Marvin Odum, called the study a prime example of key groups  that may not have the exact same interests  working collaboratively and taking a science-based approach to the methane problem.        
Mr. Odum said that collecting actual emissions data, rather than relying on estimates, would ensure that both improvement efforts and regulatory changes can be focused on the areas that will have the biggest impact.        
The report comes at a time when shale-gas drilling is growing at a breakneck pace  production, now 30 percent of all United States natural gas, is expected to reach 50 percent by 2040  but also when the industry is beset by controversy.        
Citizen groups accuse drillers of despoiling streams and water supplies, and suppliers of wrecking local roads with parades of massive trucks. Environmental groups have split sharply over whether to support shale-gas development as a cleaner fuel that will suffice until wind and solar power assume a greater share of the nations energy supply.        
The Texas study is the most comprehensive look to date at a contentious issue in the debate over fracking: the extent to which methane leaks during drilling and production offset the environmental benefits of the clean-burning natural gas the wells produce.        
When burned as fuel, methane  the main component of natural gas  is comparatively clean, producing less carbon dioxide than coal and oil. But vented to the air, it is a short-lived but extremely potent greenhouse gas, trapping heat at a much higher rate than carbon dioxide, the main greenhouse gas.        
Such potency means that even a small loss of methane to the air  just 3.4 percent, scientists say  can negate its climate-changing advantage over coal.        
Some previous studies suggested that as much as 7.9 percent of all shale gas was lost to the atmosphere, a figure that included every stage of the gas process, from well to stove or furnace burner.        
The Texas study did not examine potential losses outside the drilling pad. But its conclusion that losses at the well were comparatively low could remove one issue from the debate. The Environmental Defense Fund is leading other research efforts that should address losses elsewhere, including a look at methane leaks in municipal gas-distribution lines.        
The American Petroleum Institute hailed the studys conclusions, saying in a statement that its own efforts to reduce methane emissions are paying off. But while E.P.A.-mandated measures appear to have reduced emissions during well completions, the study also concluded that leaks elsewhere in the fracking process were higher than the E.P.A. had previously estimated.        
Estimates of leaks from chemical pumps, while small, were twice past estimates, while leaks from pneumatic controllers, or valves, were pegged at more than 639,000 tons a year, roughly a third greater. None of those components are currently subject to federal regulation.        



 



","Gas Leaks in Fracking Disputed in Study","U.S.","News"
135,"










SAN FRANCISCO  With Emirates Team New Zealand holding a huge lead heading into the final stages of the Americas Cup, it remains unclear just what the team will do with the competition if it goes on to defeat Oracle Team USA.        



Will racing be in multihulls again or in monohulls? In big boats again or in smaller boats? Close to the shore again or back in the heart of Aucklands vast Hauraki Gulf?        
But Grant Dalton, the combative managing director of Team New Zealand, has made two things clear. He wants the cost of competing in the next edition of the Cup to be considerably less expensive in order to attract more teams. He also wants to restore a nationality rule.        
The nationality debate has long been contentious in the Cup. For now, hulls must be manufactured in the nation of the challenging yacht club, but there is no nationality restriction on sailors involved. That is why Oracle, which represents San Franciscos Golden Gate Yacht Club and the United States, can compete with just one American  Rome Kirby  on its 11-man crew, which featured sailors of seven nationalities in Sundays races.        
This is in keeping with the owner Larry Ellisons global approach to talent recruitment and with the prevailing recent view that Americas Cup teams are closest in spirit to motor racings Formula One teams: more about brand identity and pushing technological boundaries than about national identity and a patriotic agenda.        
I love America, and I love to say that my family is American, said James Spithill, Oracles Australian helmsman and skipper, who is married to an American. Spithill added: But I tell you what, Im not going to try to hide from the fact that we have different nationalities in our team, because Im proud of every one of them and the ideas and creativity they bring.        
Dalton and Team New Zealand have a different vision. Nine of their starting crew members are New Zealanders; the other two are Australians with strong New Zealand connections.        
Its a very homogeneous crew, while Ellisons got an international free-agency crew, said Gary Jobson, the American who won the 1977 Americas Cup as tactician to Ted Turner and is now a television analyst. I strongly believe that the Americas Cup Deed of Gift was written as a friendly competition between foreign countries, and I think the American boat should have all Americans, the New Zealand boat ought to have all Kiwis, and the French boat should have all French. And if you did that, I think the Americas Cup would mean a lot more to a lot of people.        
New Zealand, with a population of about 4.4 million, has long punched well above its demographic weight in the sailing world. New Zealanders have been fixtures on nearly all the major teams in the past four Cup cycles. Oracle also has a strong Kiwi influence. Russell Coutts, the teams chief executive and former skipper, is a New Zealander.        
The imposition of nationality restrictions would presumably cost Kiwis some sailing jobs, as well. But Dalton says he is convinced that the event needs to tack away from the billionaire-versus-billionaire approach that has been back in vogue in the last decade.        
We stand for a strong nationality rule, he said earlier this year in an occasionally testy onstage debate with Coutts in New Zealand.        
The question is how strong a rule. Fulfilling Jobsons vision and creating full Olympic-style national teams would probably discourage teams from emerging sailing nations like China and South Korea. Their home-country sailors simply could not be competitive against the established powers.        
Grant Daltons idea, from what I understand after talking to him, would be to have a weaker nationality rule for newcomers, for new countries, which seems fair, said Bruno Troubl, a French former Americas Cup helmsman.        
But established teams could also struggle with a new rule. Artemis Racing, which represents the Royal Swedish Yacht Club, had no Swedish sailor on its primary crew during this years Challenger Series.        



 1  2 Next Page  



","Next Cup Battle: To Decide What Representing a Country Means ","Sports","News"
136,"










ATLANTA  A former college football player shot to death while searching for help after a car accident was killed by 10 bullets fired by a Charlotte, N.C., police officer, officials said Monday.        



The death of Jonathan Ferrell, 24, led civil rights groups to question the kind of training that resulted in the barrage of bullets fired against an unarmed man by a 27-year-old officer promoted two years ago from the animal control division.        
After a tearful meeting with Chief Rodney Moore of the Charlotte-Mecklenburg Police Department, Mr. Ferrells mother applauded the city for quickly charging the officer who fired the shots with voluntary manslaughter.        
The police said the officer, Randall Kerrick, 27, fired 12 bullets, 10 of which hit Mr. Ferrell as he ran toward Officer Kerrick and two other officers, apparently asking for help.        
There is no justification of it and, frankly, to the chiefs credit, he didnt offer one, said Chris Chestnut, the familys lawyer. This is a bad cop in an otherwise respectable police department.        
Mr. Ferrell, a former safety with Florida A&M University, had recently moved to Charlotte to be with his fiance, a woman he had been dating since high school. He was working two retail jobs and thinking about going back to school.        
Around 2 a.m. Saturday, after he dropped a friend off in a quiet Charlotte subdivision, his car went off the road into dense woods in an area where the speed limit is 25 miles per hour.        
The car was so badly damaged that Mr. Ferrell had to climb out a rear window. He staggered up an embankment to the road, knocking on the first door he could find on Reedy Creek Road, according to his family and the police.        
A young woman who thought her husband was coming home from work opened the door. She saw Mr. Ferrell, panicked and called the police.        
Three Charlotte-Mecklenburg police officers showed up. Mr. Ferrell ran toward them. A Taser was fired, but it was unclear whether it hit Mr. Ferrell. Then Officer Kerrick fired.        
The woman and the officer are white. Mr. Ferrell was black.        
What caused the crash was not clear. The police said there was no initial indication that alcohol was involved, although toxicology test results have not been released.        
On Tuesday, Officer Kerrick will face arraignment on voluntary manslaughter charges, according to the Mecklenburg County Clerk of Court. It was the first time in more than three decades that an officer from the department has been charged in an on-duty shooting. Mr. Ferrell was the sixth person shot by an officer in the department since 2012.        
Mr. Ferrell was described as a sweet, introspective man, dedicated to football but also someone who wanted nothing more than to work hard and spend time with the woman to whom he had recently become engaged.        
Mr. Ferrells family, friends and former coaches spoke out on Monday, offering a portrait of a man who had the best interest of others at heart.        
He didnt disrespect nobody, Willie Ferrell said of his brother. He was only 16 months younger than Jonathan, and the two were best friends. His older brother taught him everything, he said, from how to tie his shoes to how to play football.        
He was a man of all men, Willie Ferrell said. There was nothing that was hard for him to do.        
Mr. Ferrells family, who had traveled to Charlotte from Tallahassee, Fla., spoke of forgiveness but would not say whether they thought a more severe charge should have been leveled.        
I wont opine on that, but I will tell you this isnt a Charlotte Police Department problem, Mr. Chestnut said. Its a glaring example that there are folks with guns and badges in America that lack discernment and intelligence and judgment.        
The departments quick move to bring charges, he said, was influenced by the 2012 shooting death in Florida of Trayvon Martin, a 17-year-old African-American.        
Trayvon Martin was a recipe for what not to do, he said.        
On Monday, the American Civil Liberties Union and the N.A.A.C.P. questioned the kind of training that could produce an officer who would use deadly force in Mr. Ferrells circumstances and called for the department to change its police review board system and make video taken by the police during calls public record.        
On Monday, as Georgia Ferrell spoke about her son to reporters, she held his childhood Winnie the Pooh doll and described a boy who loved animals and promised her that he would one day give her grandchildren.        
Later, in a telephone interview, she said the family had yet to decide if it would take legal action. Instead, she was praying for forgiveness.        
He took my son from me, but I can only stand here and tell you that I believe God is the one listening to me right now and God would want me to forgive, she said. If I dont forgive, it will be on me forever.        



 
Christine Jordan Sexton contributed reporting from Tallahassee, Fla., and John Peragine from Charlotte. 
 



","Asking for Help, Then Killed by an Officers Barrage","U.S.","News"
137,"










Sheldon Hackney, an educator and chairman of the National Endowment for the Humanities who organized a series of national conversations aimed at restoring civility and civic-mindedness during the culturally fractious 1990s, died on Thursday on Marthas Vineyard in Massachusetts. He was 79.        



The cause was amyotrophic lateral sclerosis, commonly known as Lou Gehrigs disease, said his wife, Lucy Durr Hackney.        
Mr. Hackney had been president of the University of Pennsylvania from 1981 to 1993 when President Bill Clinton appointed him chairman of the endowment. His defining initiative in the job was his first: A National Conversation on American Pluralism and Identity, a project that helped finance and shape about 1,400 public meetings from 1994 to 1997.        
In discussions held in libraries, college auditoriums and town halls in all 50 states  some televised, most not  citizens discussed what it meant to be an American at the height of the so-called culture wars, when the idea of one nation, indivisible seemed threatened by ideological and religious divisions over issues like abortion, homosexuality, multiculturalism and the separation of church and state, as well as racial tensions as seen in the polarized public reaction to O. J. Simpsons murder trial and acquittal, a response that troubled Mr. Hackney.        
Mr. Hackney brought a historians perspective to the project. His award-winning 1969 book, Populism to Progressivism in Alabama, established him as one of the foremost historians of the post-Civil War South.        
At the University of Pennsylvania he became identified with two highly publicized campus disputes involving alleged racial incidents. Mr. Hackney was portrayed as having sided with the black students in both cases, one involving epithets against women in a black sorority and the other concerning black students who had confiscated copies of a campus newspaper over an article they considered offensive.        
Though the details of the events and his actions in handling them remained disputed, his portrayal as the personification of the politically correct academic leader later became the focus of Congressional opposition to his nomination to head the National Endowment for the Humanities. He was confirmed anyway.        
But after Republicans won control of Congress in the 1994 elections, Mr. Hackneys budget was cut to $110 million, from $172 million the previous year.        
I was a true veteran of the multicultural wars, he said in an interview. If they gave out Purple Hearts for wounds incurred while trapped between the front lines, I would have several.        
Francis Sheldon Hackney was born in Birmingham, Ala., on Dec. 5, 1933, the son of Cecil Fain Hackney and the former Elizabeth Morris. Throughout the 1930s, his father found steady work as a newspaper reporter and editor for The Birmingham Age-Herald. He completed his masters degree and Ph.D. in history at Yale, where he was a protg of C. Vann Woodward, considered the dean of Southern historians.        
Mr. Hackney was an assistant professor and then a tenured professor of history at Princeton from 1965 until 1972, when he became provost there. From 1975 to 1980 he was president of Tulane University in New Orleans. He returned to teaching at Penn after leaving the endowment.        
Besides his wife, he is survived by a son, Fain Hackney; a daughter, Elizabeth McBride; three brothers, Morris, Rob and John; and eight grandchildren. A daughter, Virginia, died several years ago.        
Though the conversations begun by Mr. Hackney were not highly publicized and not particularly popular on the right or the left for different reasons, he remained loyal to his ideas.        
In One America, Indivisible, a 1997 book about the National Conversation project, Mr. Hackney said he was concerned about the countrys political atmosphere. I worry that rights-based individualism on the Left, and market-driven libertarianism on the Right, will leave insufficient room for a common vision of the common good.        
The conversation Americans still needed to have, he said, might be framed as a question: The question absent from our national catechism, he said, is, What do I owe to my fellow citizens?        



 



","Sheldon Hackney, Leader in Humanities, Dies at 79","Arts","Obituary"
138,"













The University of Alabama saidon Mondaythat its traditionally white sororities had been ordered to extend their recruitment efforts after the school came under withering criticism for racial bias by its Greek organizations. The university said in a statement that President Judy L. Bonner had told the social groups to use a process that allows the organizations to accept new members after the traditional sorority rush as part of a push to remove barriers in order to increase diversity in our sororities. The university drew attention last week after a member of the Tuscaloosa campuss Alpha Gamma Delta chapter told the student newspaper, The Crimson White, that the sorority had considered race when it denied admission to a black woman with a sterling academic record and close familial ties to Alabama. Members of other sororities recounted similar experiences, though they did so anonymously.        



 



","Alabama: Sororities Told to Increase Diversity","U.S.","Brief"
