,content,headline,section_name,type_of_material
14,"




The U.S. Federal Reserve remains the most powerful central bank in the world. Its policy actions reverberate in every corner of the globe, something no other central bank can claim. Even the hint of a taper  the withdrawal of easy money policies  has roiled emerging markets. The prospect of rising interest rates in the United States has led investors to pull back from riskier investments in those countries. Emerging markets like Brazil, India and Indonesia are facing plunging currencies and declining stock markets.        



Low interest rates in the United States had led investors to look to emerging markets for better returns on their money, fueling booms in equity and real estate markets as well as higher inflation in some countries. For the previous two years, emerging markets had been complaining about how these inflows fueled by cheap money in the United States caused their currencies to appreciate too rapidly, hurting their export competitiveness. The fact that those same currencies are now tumbling has led to the opposite complaint  that the Fed should back off more slowly from its earlier policies and better communicate its intentions to financial markets.        
Given the global impact of the Feds actions, the choice of a replacement for Ben Bernanke as chairman of the Federal Reserve is being watched with keen interest. No matter who is chosen, there are important changes in store for central banks and financial markets the world over.        
Despite the global economic crisis, financial markets are now more closely connected then ever before. China, India and other major economies have continued removing restrictions to capital flows, opening up their markets to cross-border investment. Given this increased mobility, actions by any of the major central banks have effects well beyond their own national borders.        
Moreover, in the aftermath of the crisis, central banks have become even more important to economic management, taking on much of the burden of controlling inflation, improving financial stability and promoting growth. This is a difficult balancing act in the best of times. It becomes virtually impossible when fiscal and other policies are working at cross-purposes.        
In the United States, for instance, short-term fiscal tightening (along with the uncertainty associated with deficit and debt-ceiling negotiations that repeatedly go down to the wire) has hobbled the recovery. Meanwhile, little has been done to tackle the longer-term fiscal problems, especially entitlement spending. The focus on short-term austerity has limited productivity-enhancing expenditures in such areas as infrastructure and education.        
In India, the government has been unwilling to undertake politically unpopular reforms to tackle large budget deficits and structural problems such as stifling labor-market regulations. This has left it to the makers of monetary policy to do all the heavy lifting. Other emerging markets face similar issues.        
The reliance on central banks to make up for the failings of other policies has created inevitable international tensions. The right monetary policy for one country might not necessarily be what is good for another. Unlike fiscal policies, whose effects tend to stay mostly domestic, monetary policies do affect currency values and financial markets in other countries through cross-border financial flows.        
Whoever takes over from Bernanke, the reality is that the Fed chairman has a mandate to focus only on domestic objectives. Fair enough: No central bank in the world has anything but domestic objectives in its mandate. But when the Fed acts, it matters to the world in a way that no other central banks actions do.        
In a report by a committee of academics and former central bankers in which I participated, we argued that the Fed and a small group of central banks from both advanced and emerging market economies should hold regular meetings and issue a report on their monetary policy intentions. Even if this procedure only exposed mutual inconsistencies in policy, it would be a way to bring broader pressure on politicians to stop relying on the crutch of monetary policy and prod them to take politically unpopular measures to improve productivity and the prospects of long-term growth while making global capital flows more stable.        
So who would the rest of the world vote for to head the most important central bank? Now that Lawrence Summers has withdrawn from the race, the presumptive front-runner is Janet Yellen. Many central bankers view her as someone who is empathetic to the spillover effects of U.S. policies, someone who has enough credibility to soothe financial markets and ably steer the Fed.        
In any event, no matter who gets the job, what many of the worlds central bankers are hoping for is a Fed that can go back to the more modest objectives of maintaining low inflation and financial stability. On that, at least, there is certainly international agreement.        
 Eswar Prasad  is a professor of economics at Cornell University and a senior fellow at the Brookings Institution. He is the co-author with M. Ayhan Kose of Emerging Markets: Resilience and Growth Amid Global Turmoil.  



 



",The Next Fed Chairmans Global Clout,Opinion,Op-Ed
15,"









 
Throughout my youth, the superpowers battled each other via proxies in regional wars or via their respective secret services. On Friday, I awoke to find them battling each other on your Views pages in the form of an article by President Vladimir Putin, A plea for caution from Russia. There will always be wars. And were likely to see more efforts to attain and deploy weapons of mass destruction. But, so long as the superpowers duel in the newspaper, the prospects for both peace and the press would appear to have brightened.        
John Brown, Munich 



 




",Dueling in the Newspaper,Opinion,Letter
16,"









 
In That threat worked (Sept. 13), Nicholas D. Kristof suggests a three-track strategy in Syria that includes expanded support of moderate rebels. That is precisely the wrong strategy. It is not in Americas interest to see a rebel victory, which will bring either Islamic militants to power or chaos.        
Our choice isnt between bad and good, dictatorship and democracy; its between bad and worse. To that end, we should not arm the rebels  moderate or otherwise. Many of the rebels may be moderates, even believers in some form of democracy (without the slightest notion of what that is or how to get there). But many are also Islamic extremists bent on doing away with a secular regime.        
The best outcome for the United States, and I believe for the Syrian people, would be a negotiated settlement in which President Bashar al-Assad or his government remains in power but with some form of constraint.        
Eliot Vestner, Kittery, Maine 



 




",Dont Arm Syrias Rebels,Opinion,Letter
17,"



 
President Obama recently declared that the United States is the worlds oldest constitutional democracy, and he is echoed by Timothy Egan (A brilliant mess, Sept. 14), without challenge. It is, nonetheless, a historically dubious claim. That honor might belong to either Iceland or Switzerland, though the details are open to debate. But since the United States did not allow equal voting rights for all its citizens until 1965, its democracy, by that standard, must be counted young. And true democracy still eludes the country when money is considered a form of free speech and representation of the poor is subject to open mockery.        
Brian Masters, London 
        



 




",How Old a Democracy?,Opinion,Letter
18,"










DENVER  As rain continued to fall Monday along Colorados Front Range, officials waited for a clearing in the weather so National Guard helicopters grounded by rain and fog could resume searching for hundreds of people who remain cut off by floodwaters.        



Officials said that they had not yet determined when the helicopter rescue flights could proceed, but the authorities have told residents isolated in Lyons, Jamestown and other mountain towns that once the helicopters were in the air that they should do what was necessary, within reason, to get the attention of the National Guard pilots. Among the suggested methods are to wave or place a white sheet on the roof of their house, light signal flares or small fires, or redirect the sun with mirrors.        
Residents needing evacuation were also asked to be pack medication or clothes they might need because it could be days or weeks before they are allowed to return home.        
Telephone landlines, cellphone service and the Internet have either been knocked out in the area or are undependable. Given the risk of further mudslides and the amount of mud, water and debris that have piled up in some places, even walking a few feet can prove difficult, officials said.        
The rain, which has been falling on the Front Range for much of the past week, prompted fears of new flooding Monday as the National Weather Service issued a flash flood watch starting Monday afternoon and extending into the early evening hours in anticipation of heavy thunderstorms expected to roll through the area. Some of the storms could bring as much as one inch of rain in as little as 30 minutes, the weather service said in an advisory.        
W. Craig Fugate, the administrator of the Federal Emergency Management Agency, was scheduled to arrive Monday to help coordinate relief efforts, the agency said.        
The storms have left at least six people dead or presumed dead so far, the most recent reported fatality being that of an 80-year-old woman who was apparently washed away with her home.        
More than 800 people are now listed as unaccounted for in Larimer and Boulder Counties, the authorities said. Officials said they hoped that most of those people had simply been unable to reach friends and family members because of the limited ability to communicate.        
On Sunday, National Guard pilots waited all day for the fog to lift, but were unable to get off the ground at Boulder Municipal Airport and elsewhere.        
The good news is weve got 16 helicopters, said John Schulz, a spokesman for the sheriffs office in Larimer County. The bad news is they cant go anywhere.        
A break in the relentless rains had brought dramatic scenes of rescue and reunion on Saturday, as big-bellied Chinook helicopters buzzed over the flooded roadways to airlift hundreds of residents from campgrounds, homes and destroyed mountain hamlets. One mission rescued 85 children and 14 adults who had been trapped while attending an outdoor education camp near Jamestown.        



 
Timothy Williams contributed reporting from New York. 
 



",Weather Grounds Copters in Colorado Rescue,U.S.,News
19,"










MOSCOW  A Russian nuclear submarine caught fire and was spewing smoke into the air at a port city in Russias Far East early Monday, but fire crews extinguished the blaze, and the authorities said no radiation leaked.        



Two nuclear reactors were on board, but they had been shut down before the fire started.        
Crews had also removed the arsenal of torpedoes and missiles, so there was no risk of an explosion, Russian military officials said, according to the Interfax news agency.        
The submarine, called the Tomsk, was docked at a shipyard near Vladivostok for repairs.        
The crew evacuated after smoke started to fill the boat, the RIA news agency reported. And photographs showed smoke billowing from vents along the submarines sides.        
Concerns about radiation leaks into the Pacific Ocean are high after the Fukushima nuclear power plant disaster in Japan two years ago. And for the Russians, any submarine accident rekindles memories of the sinking of the Kursk in the Barents Sea in 2000, when some crew members were trapped alive for days but did not survive.        
The Russians said the Kursk went down after one of its torpedoes exploded, but the blast did not rupture the hardened reactor segments of the submarine to release radiation.        
Vows to improve safety followed, but lean post-Soviet military budgets continued to strain the Russian Navy. Under a modernization plan, Russia intends to spend 5 trillion rubles, or $166 billion, repairing and replacing naval vessels over the next eight years.        
Sparks from welding during work to repair and upgrade the Tomsk most likely caused the fire on Monday, RIA reported, quoting Aleksei Kravchenko, a spokesman for the United Shipbuilding Corporation, the state-owned company doing the work.        
The submarine has two hulls. An inner hull is thick enough that the interior of the submarine can be maintained at the pressure of the surface, even when deep underwater. The reactors are inside this pressurized hull.        
A space for ballast tanks and other equipment separates this rigid cylinder of metal from the thin outer hull.        
The fire broke out between the two hulls, Mr. Kravchenko said, separated from the two nuclear reactors by the thick inner hull. It burned paint and insulation. Firefighters extinguished it with foam, reports said.        
The Tomsk is an attack submarine and, as such, would not carry strategic nuclear warheads even if all the weaponry had not been removed from the boat for the repairs. It was never threatened by the fire, the Russian authorities asserted.        
An American nuclear submarine, the Montpelier, collided with a ship in 2012, and a British nuclear submarine, the Astute, beached on a sandbar in 2010. Fires broke out on Russian nuclear submarines in 2011 and in 2008 without causing a radiation leak.        



 



",Authorities Say No Radiation Leaked in Russian Sub Fire,World,News
20,"




  
1913 China Will Reform Salt Gabelle 
PEKING  The Premier to-day [Sept. 16] notified the Ministers of the five Powers interested in the loan negotiations that a reorganization of the salt gabelle will be undertaken, in accordance with the stipulation of the loan agreement. This dispels the allegation that the Government had determined to obstruct the reform, although it deprives it of the chief excuse for the inauguration of a debt commission to control Chinas finances, arrangements for which have been under serious consideration recently. The Japanese regard Chinas formal Note accepting most of their demands, made as a result of the Nanking and other recent incidents, as unsatisfactory.        
 
1938 Plebiscite Rejected by Czechs  
PRAGUE  Rudolf Bechyne, Vice-Premier of Czechoslovakia, warned publicly tonight [Sept. 16] that this country would go to war before it would allow a plebiscite in the Sudeten German areas. That would be the shortest way to war, he said, at a time when Czech newspapers were reporting that France and Great Britain favored a plebiscite under international control. There could not be found in Czechoslovakia a government which would accept a plebiscite. If by any chance such a government could be found it would be smashed within an hour by the indignation of the whole nation, which would rather accept death than the crippling of the homeland. This appeal came at a time when the Sudeten areas were quietly under the iron rule of martial law.        
 
1963 Schema on Nature of Church 
VATICAN CITY  The first schema, or project, to be discussed at the second session of the Ecumenical Council will concern the nature of the Roman Catholic Church, the Council Secretariat announced today [Sept. 16]. The scheme will make the expected 2,500 Council fathers come to grips with some of the most important problems of the Second Vatican Council as soon as they arrive. The fathers are considered likely to spend a great deal of time on this central schema, which has been described as the foundation of the entire Council. The schema was brought before the Council at the first session last spring, but was rejected as too juridical and not pastoral enough in tone. Now, De Ecclesia concerns such weighty theological problems as the nature of the Church, the infallibility of the Pope, and the rights of each element of the Church, from the Pope to the layman.        



 




","100, 75, 50 Years Ago",Opinion,News
21,"










WASHINGTON  A former Navy reservist killed at least 12 people on Monday in a mass shooting at a secure military facility that led the authorities to lock down part of the nations capital  even after the gunman was killed  in a hunt for two other armed men spotted by video cameras, officials said.        



But by Monday evening, the federal authorities said they believed the shooting was the act of a lone gunman, identified as Aaron Alexis, 34, who was working for a military subcontractor.        
The chaos at the facility, the Washington Navy Yard, started just after 8 a.m. Civilian employees described a scene of confusion as shots erupted through the hallways of the Naval Sea Systems Command headquarters, on the banks of the Anacostia River a few miles from the White House and about a half-mile from the Capitol.        
I heard three gunshots, pow, pow, pow, straight in a row, said Patricia Ward, a logistics management specialist from Woodbridge, Va., who was in the cafeteria on the first floor when the shooting started. About three seconds later, there were four more gunshots, and all of the people in the cafeteria were panicking, trying to figure out which way we were going to run out.        
Police officers who swarmed the military facility exchanged fire with Mr. Alexis, 34, a former naval reservist in Fort Worth. Police officers shot Mr. Alexis to death, law enforcement officials said, but not before a dozen people were killed and several others, including a city police officer, were wounded and taken to local hospitals.        
Officials said Mr. Alexis drove a rental car to the base and entered using his access as a contractor and shot an officer and one other person outside Building 197, the Sea Systems Command headquarters. Inside, Mr. Alexis made his way to a floor overlooking an atrium and took aim at employees eating breakfast below.        
He was shooting down from above the people, one law enforcement official said. That is where he does most of his damage.        
The names of seven of the victims were released late Monday: Michael Arnold, 59; Sylvia Frasier, 53; Kathy Gaarde, 62; John Roger Johnson, 73; Frank Kohler, 50; Kenneth Bernard Proctor, 46; and Vishnu Pandit, 61. Officials said names of the other victims would be released after their families had been contacted. All of the victims were believed to be civilians or contractors. No active duty military personnel were killed, said Chief Cathy L. Lanier of Washington.        
One victim was shot in the left temple and was pronounced dead within a minute of arriving at George Washington University Hospital. This injury was not survivable by any stretch, a hospital official told reporters. The patient was dead on the way to the hospital.        
Eight people were injured. Three of them were shot, including Officer Scott Williams of the Washington police. The others suffered injuries from falls or complained of chest pains. Officer Williams, who served in the canine unit, underwent several hours of surgery for gunshot wounds to his legs. A second victim suffered a gunshot wound to her shoulder. A bullet grazed a third victims head but did not penetrate her skull, according to doctors at MedStar Washington Hospital Center.        
Three weapons were found on Mr. Alexis: an AR-15 assault rifle, a shotgun and a semiautomatic pistol, a senior law enforcement officer said. It was unclear whether he had brought all the guns with him, another law enforcement official said, or if he had taken one or more of them from his victims.        
Officials said they were still searching for a motive as they asked the public for help by posting pictures of Mr. Alexis on the F.B.I. Web site. The agency is treating the shooting as a criminal investigation, not one related to terrorism.        
Navy officials said late Monday that Mr. Alexis had worked as a contractor in information technology. A spokesman for Hewlett-Packard said Mr. Alexis had been an employee of a company called The Experts, a subcontractor on an HP Enterprise Services contract.        



 1  2 Next Page  
Reporting was contributed by Abby Goodnough, Emmarie Huetteman, Thom Shanker, Sarah Maslin Nir and Joseph Goldstein from Washington, and William K. Rashbaum from New York. 
 
This article has been revised to reflect the following correction:Correction: September 19, 2013An article on Tuesday about the mass shooting at the Washington Navy Yard, using information from law enforcement authorities, misstated, in some copies, the circumstances under which the gunman, Aaron Alexis, entered the facility before the shooting began. He used his valid credentials as a military contractor to get into the base. He did not shoot his way in.



",Gunman and 12 Victims Killed in Shooting at D.C. Navy Yard,U.S.,News
22,"










Stock and bond markets around the world jumped on Monday, after Lawrence H. Summers withdrew from consideration as chairman of the Federal Reserve.         
The equity surge began in Asia a few hours after Mr. Summers wrote President Obama that any possible confirmation process for me would be acrimonious and thus not in the nations best interests.        
The rally rolled across Europe and gained steam on Wall Street, where the Dow Jones industrial average surged by 1 percent, before pulling back modestly. It closed at 15,495, up nearly 0.8 percent, or about 119 points. The broad-based Standard & Poors 500-stock index was up 0.6 percent for the day.        
Mr. Summerss unexpected move on Sunday came shortly before the American central bank meets to decide whether to scale back its bond purchases, or quantitative easing, from the current pace of $85 billion a month.        
The decision left many analysts short list for leading candidates for the Fed leadership down to just Janet L. Yellen, the current No.2 under the chairman, Ben S. Bernanke, whose term expires in January.        
Ms. Yellen was perceived by some in the financial markets as likely to maintain the current course, rather than move quickly to scale back the Feds years-long economic stimulus efforts.        
Christian Schulz, an economist in London with Berenberg Bank, said investors concerns about Mr. Summers stemmed from the fact that he had not spoken much on the topic of monetary policy, while Ms. Yellen had a long track record of supporting Mr. Bernankes policies.        
Mr. Summers seemed less convinced that such a blunt instrument as quantitative easing was the right tool, Mr. Schulz said. It was clear he wasnt as big a fan.        
It seems likely that President Obama will choose Yellen, which is good in terms of the prospects of the Fed staying on hold for some time, said Peter Cardillo, chief market economist at Rockwell Global Capital in New York, according to Reuters.        
Of course, there are always chances that the Fed may begin to announce the trimming on Wednesday, but thats already been baked in the market, Mr. Cardillo said.        
Mohamed El-Erian, the chief executive of the investment firm Pimco, said in a blog post that the Summers move would be seen as bullish for U.S. interest rate curve trades, duration more generally, and risk assets (including credit and equities).        
The main Hong Kong stock index pushed ahead 1.5 percent, while Germanys DAX reached a new high, gaining 1.1 percent.        
But emerging markets were the most relieved by Mr. Summerss retreat. Equity indexes in Indonesia (up 3.4 percent), the Philippines (2.8 percent), Argentina (2.1 percent) and Singapore (1.9 percent) were among the sharpest gainers.        
Their rallies underscored the widespread belief that the Bernanke bubbles have helped bolster the emerging markets. Fears that the cheap money would dry up have prompted turmoil in recent weeks.        
Still, many Fed watchers believed the policy differences between Ms. Yellen and Mr. Summers were not substantive. Both would be concerned about the sustained levels of high unemployment and likely to tap the brakes on stimulus slowly. In that sense, the market euphoria Monday was surprising to some.        
The United States currency fell marginally against other major currencies, with the euro gaining 0.33 percent against the dollar, to $1.3338, and the dollar falling against its Japanese counterpart to 99.10 yen.        
Analysts at BNP Paribas wrote that there had been a knee-jerk sell-off of the dollar on the Summers news, but that it would not last. By far, they said, the most important factor in the currency market was the Feds policy announcement on Wednesday.        



 
David Jolly contributed reporting from Paris. 
 




",Stocks Soar on Summers Withdrawal,Business Day,News
23,"










Bill de Blasio, completing a stunning political turnaround, assumed the role of standard-bearer of New York Citys Democratic Party on Monday, as his last remaining primary rival exited the mayoral race and he turned his attention to a fight against a Republican opponent with a starkly different vision.        



In a coronation of sorts on the steps of City Hall, the states Democratic leaders, eager to retake the mayors office after almost two decades out of power, feted Mr. de Blasio as a bold new messenger for their party  even as they praised William C. Thompson Jr., the second-place primary finisher who had held out nearly a week before announcing his withdrawal.        
There is nothing more beautiful than Democratic unity, and thank you for it, a beaming Mr. de Blasio said, as Mr. Thompson, his face frozen in a smile, stood behind him.        
It was a triumphant moment for Mr. de Blasio, until recently a little-known liberal, who overcame doubts from many Democrats about his candidacy. But he almost immediately faced sharp attacks from the Republican nominee, Joseph J. Lhota, who held his own event on Monday and denounced Mr. de Blasios left-leaning platform as extreme.        
Arguing that Mr. de Blasio would tear down the citys progress of the last two decades, Mr. Lhota said New Yorkers would be choosing between two distinct paths in November. Still, mindful of an electorate seeking a new direction after 12 years with Mayor Michael R. Bloomberg, Mr. Lhota was careful to separate himself from the current administration, saying he wanted to bring his own version of change to City Hall.        
Bill de Blasios change is radical, Mr. Lhota told reporters at a news conference in Central Park just off Fifth Avenue. My change is practical.        
As the contours of the general election came into focus, Mr. Thompson, the runner-up in the 2009 race for mayor, was again left reflecting on what went wrong.        
Calling the coming election bigger than either one of us, Mr. Thompson offered Mr. de Blasio his endorsement at City Hall. But he was far more animated in criticizing the citys Board of Elections, saying it was a disgrace that no official count had been determined nearly a week after the primary.        
Mr. Thompson, who received 26 percent of the vote to Mr. de Blasios 40 percent in the initial, unofficial results, had hoped that as lever voting machine results were double-checked, and tens of thousands of uncounted paper ballots were tallied, Mr. de Blasios total might dip below the 40 percent threshold that would prompt an automatic runoff.        
With a completed count still days away, Mr. Thompson, facing strong pressure from Democratic leaders and defections by some of his important endorsers, chose to end his bid.        
We dont know how many votes I got, or even how many votes were cast, said Mr. Thompson, who stood at a lectern emblazoned with a Bill de Blasio for Mayor banner.        
Describing himself in a state of political limbo, he said it would be impossible for him to mount a fight without knowing whether a runoff would take place.        
When are they going to finish? Mr. Thompson said to reporters, referring to the elections board. Without a final count, he added, its such a disadvantage  it just isnt fair.        
Mr. Thompsons remarks were a rare moment of discord at an event meant to showcase Democratic unity and energy ahead of the first mayoral election in years that the party is confident it can win.        
In a sign that party leaders believed it was critical to close ranks around Mr. de Blasio, the rally was presided over by Gov. Andrew M. Cuomo, who made his first appearance at City Hall since being elected governor in 2010.        
Bill is going to lead this city in the great progressive Democratic traditions that made this the greatest city on the planet, Mr. Cuomo said, with Mr. de Blasio at his side.        



 1  2 Next Page  
Al Baker, Michael Barbaro and David W. Chen contributed reporting. 
 



",A Display of Democratic Unity as Thompson Cedes to de Blasio,N.Y. / Region,News
24,"










As video game players have gotten older, as antiheroes have become routine across the culture, as sex and violence have permeated prestige television, the controversies that once surrounded the Grand Theft Auto games have begun to seem like sepia-toned oddities from another age. Sure, the new installment, to be released on Tuesday, contains plenty that might offend those who enjoy taking offense, and it is still disturbing to see parents giving these games to preteenage children. Among the interactive pastimes Grand Theft Auto offers  alongside pursuits like yoga, sky diving, tennis, scuba and golf  are bong hits and lap dances.        



But while the franchise has lost the ability to shock, it remains the most immersive spectacle in interactive entertainment. And with the profane and hugely enjoyable Grand Theft Auto V, Rockstar Games has produced the best plotted, most playable, character-driven, fictionally coherent entry in this 16-year-old series.        
The game is set in an immense, parodic vision of Southern California, a West Coast counterpoint to the caricature of New York City in Grand Theft Auto IV (2008). While Los Santos  the games version of Los Angeles  and its surroundings exist in an alternate reality, it is also a contemporary one that evokes and satirizes the anxieties of 21st-century life. Theres a fake Facebook (LifeInvader), a fake Twitter (Bleeter), a fake Apple (Fruit), a fake Kickstarter (Beseecher), a fake 50 Shades of Grey (Chains of Intimacy), even a fake Call of Duty (Righteous Slaughter 7, a first-person shooter game that advertises itself with the tagline The identical art of contemporary killing).        
Grand Theft Auto V is still an action game about hoodlums and thieves; we start with an extended bout of cop killing and proceed to a series of increasingly ambitious heists. But the structure feels more logical than before. Your character doesnt arrive as an outsider in a new city and start carrying out the requests of people whose only purpose is seemingly to delay him. Instead, the events flow from situations and desires.        
For the first time, there are three controllable characters instead of only one: Franklin, a repo man on the make, loses his job; Michael, a witness-protection retiree, miscalculates after finding his wife cheating on him with her tennis instructor; and Trevor, an oddly lovable psychopathic meth dealer and gun runner, learns that Michael, his onetime partner, faked his death 10 years ago.        
Ive got an imbalance, Michael tells his psychiatrist. One minute Im one person, and the next minute Im another person.        
A retired  or newly unretired  bank robber, Michael is examining his struggle to control his criminal impulses. He might as well be analyzing the dissonance that afflicted Grand Theft Auto IV. That games protagonist, Niko Bellic, would fret in animated sequences about the costs of his life of violence. But under the control of many video game players, Niko would subsequently embark on acts of gleeful, creative murder that belied the story the game wanted to tell about him. Were these two men  the one in the storys animations and the one manipulated by the player  really the same person?        
With the three-character structure of Grand Theft Auto V, Rockstar finds an answer to that riddle.        
That seamlessness between narrative and interactive is something that we have worked on everywhere, said Sam Houser, the sometimes reclusive co-founder of Rockstar Games, who agreed to be interviewed after I had spent more than 45 hours inside the games world.        
Most video games are about repeated actions, about mastering a skill and exploiting it. Grand Theft Auto games are about variety. Theres the array of content, including radio stations D.J.d by the likes of Bootsy Collins; entire TV shows with names like Republican Space Rangers; and a fake Internet. And there are the missions the characters execute, encompassing car, boat and plane chases; paparazzi ambushes; train robberies; and triathlons. Failure in the new game is less frustrating than in previous iterations, since a generous checkpointing system means that players dont need to restart a mission from the beginning if they dont get it right the first time. Theres even an option to skip the action sequences after repeated attempts have gone awry.        
For all that the game does right, it has a genuinely problematic aspect that is not its enthusiasm for violence or sex but its lack of interest in women as something other than lustful airheads (notwithstanding a late-game cameo by Mr. Housers mother, Geraldine Moffat, a British actress of the 1960s and 70s). One of the only young women in the game not oversexed and under-read is sucked into a jet turbine.        



 1  2 Next Page  



",Grand Theft Auto V Is a Return to the Comedy of Violence,Arts,Review
25,"










Winter squash, already sweet and caramelized from roasting, makes as delicious a partner for miso glaze as eggplant.        



1 large butternut squash (about 2 pounds)        
Salt to taste        
2 tablespoons dark sesame oil        
1 tablespoon mirin        
1 tablespoon sake        
2 tablespoons white or yellow miso        
1 tablespoon sugar        
1. Preheat the oven to 425 degrees. Line a baking sheet (or 2 if necessary) with parchment. Peel the squash, cut in half and scrape out the seeds and fibers. Slice 1/2 inch thick and place in a large bowl. Season with a little salt if desired and toss with 1 1/2 tablespoons of the sesame oil. Lay the slices in one layer on the baking sheet(s).        
2. Roast the squash for 25 to 30 minutes, turning the slices over every 10 minutes, until the slices are tender all the way through and lightly colored.        
3. Meanwhile, heat the broiler and make the glaze. To make the glaze, combine the mirin and sake in the smallest saucepan you have and bring to a boil over high heat. Boil 20 seconds, taking care not to boil off much of the liquid, then turn the heat to low and stir in the miso and the sugar. Whisk over medium-low heat without letting the mixture boil until the sugar has dissolved. Remove from the heat and whisk in the sesame oil.        
4. Remove the squash from the oven and brush each slice with the miso glaze. Place under the broiler, about 2 inches from the heat, and broil for about 1 minutes, or until the glaze begins to bubble and looks shiny. Remove from the heat. Allow to cool if desired or serve hot.        
Yield: Serves 4 to 6        
Advance preparation: This tastes wonderful even a day after you make it. You can serve it cold or reheat.        
Nutritional information per serving (4 servings): 192 calories; 8 grams fat; 1 gram saturated fat; 3 grams polyunsaturated fat; 3 grams monounsaturated fat; 0 milligrams cholesterol; 30 grams carbohydrates; 4 grams dietary fiber; 328 milligrams sodium; 3 grams protein        
Nutritional information per serving (6 servings): 128 calories; 5 grams fat; 1 gram saturated fat; 2 grams polyunsaturated fat; 2 grams monounsaturated fat; 0 milligrams cholesterol; 20 grams carbohydrates; 3 grams dietary fiber; 219 milligrams sodium; 2 grams protein        
Martha Rose Shulman is the author of The Very Best of Recipes for Health.  
        



 



",Roasted Winter Squash With Miso Glaze,Health,Recipe
26,"










Most recipes for miso-glazed fish are for salmon, because fatty fish are well suited for this preparation and salmon is particularly delicious. Nobu Matsuhisa is known for his miso-marinated black cod, which he marinates for two to three days. I cant imagine finding fish fresh enough to marinate for that long, so in my recipe I marinate the fish for a few hours before broiling and then finishing, if necessary, in the oven. The marinade is based on the Matsuhisa recipe, but Ive reduced the sugar considerably.        



1/4 cup mirin        
1/4 cup sake        
3 tablespoons white or yellow miso paste        
1 tablespoon sugar        
2 teaspoons dark sesame oil        
4 salmon, trout, Arctic char, mahi mahi or black cod fillets, about 6 ounces each        
1. Combine the mirin and sake in the smallest saucepan you have and bring to a boil over high heat. Boil 20 seconds, taking care not to boil off much of the liquid, then turn the heat to low and stir in the miso and the sugar. Whisk over medium heat without letting the mixture boil until the sugar has dissolved. Remove from the heat and whisk in the sesame oil. Allow to cool. Transfer to a wide glass or stainless steel bowl or baking dish.        
2. Pat the fish fillets dry and brush or rub on both sides with the marinade, then place them in the baking dish and turn them over a few times in the marinade remaining in the dish. Cover with plastic wrap and marinate for 2 to 3 hours, or for up to a day.        
3. Preheat the oven to 400 degrees. Light the broiler or prepare a grill. Line a sheet pan with foil and oil the foil. Tap each fillet against the sides of the bowl or dish so excess marinade will slide off. Place skin side up on the baking sheet if broiling.        
4. Place the fish skin side down on the grill, or skin side up under the broiler, about 6 inches from the heat. Broil or grill for 2 to 3 minutes on each side, until the surface browns and blackens in spots. If necessary (this will depend on the thickness of the fillets) finish in the oven, for about 5 minutes, until the fish is opaque and can be pulled apart easily with a fork.        
Note: For a vegetarian version of this dish, substitute tofu, sliced about 2/3 inch thick, for the fish.        
Yield: Serves 4        
Advance preparation: You can prepare the fish 12 hours before cooking.        
Nutritional information per serving: 304 calories; 10 grams fat; 2 grams saturated fat; 2 grams polyunsaturated fat; 3 grams monounsaturated fat; 80 milligrams cholesterol; 9 grams carbohydrates; 1 gram dietary fiber; 491 milligrams sodium; 37 grams protein        
Martha Rose Shulman is the author of The Very Best of Recipes for Health.  



 



",Miso-Glazed Fish,Health,Recipe
27,"










This is a great dressing for cooked vegetable salads, spinach salads, tofu and noodle salads, and its also delicious with a simple bowl of rice.        



1 rounded tablespoon white or yellow miso        
2 tablespoons seasoned rice vinegar, or 1 tablespoon rice vinegar and 1 tablespoon fresh lime juice        
1/2 teaspoon grated fresh ginger        
1 small garlic clove, minced or put through a press        
Pinch of cayenne        
2 tablespoons dark sesame oil        
2 tablespoons peanut oil or grapeseed oil        
2 tablespoons plain low-fat yogurt        
1. Combine the miso and vinegar (or vinegar and lime juice) in a small bowl and whisk together. Add the remaining ingredients and whisk until amalgamated. You can also mix this in a blender.        
2. Toss with the salad of your choice.        
Yield: 2/3 cup        
Advance preparation: This will keep for a week in the refrigerator.        
Nutritional information per tablespoon: 57 calories; 6 grams fat; 1 gram saturated fat; 2 grams polyunsaturated fat; 2 grams monounsaturated fat; 0 milligrams cholesterol; 2 grams carbohydrates; 0 grams dietary fiber; 111 milligrams sodium; 0 grams protein        
Martha Rose Shulman is the author of The Very Best of Recipes for Health.  



 



",Miso Dressing,Health,Recipe
